category,food,status,notes
vegetables,bamboo shoots,yes,freely - ~0.9g net carbs
vegetables,snow peas,yes,~4.9g net carbs - moderate portions
vegetables,winged beans,yes,~4.3g net carbs - good protein too
vegetables,arugula,yes,freely - ~2g net carbs
vegetables,watercress,yes,freely - ~0.8g net carbs
vegetables,collard greens,yes,freely - ~1.4g net carbs
vegetables,beet greens,yes,freely - ~0.6g net carbs
vegetables,turnip greens,yes,freely - ~3.9g net carbs
vegetables,endive,yes,freely - ~0.2g net carbs
vegetables,romaine lettuce,yes,freely - ~1.2g net carbs
vegetables,iceberg lettuce,yes,freely - ~1.8g net carbs
vegetables,radish,yes,freely - ~1.8g net carbs
vegetables,daikon radish,yes,freely - ~2.5g net carbs
vegetables,okra,yes,~4.2g net carbs - moderate portions
vegetables,radicchio,yes,~3.6g net carbs
vegetables,kohlrabi,yes,~2.6g net carbs
vegetables,jicama,yes,~3.9g net carbs
vegetables,chayote,yes,~2.8g net carbs
vegetables,turnip,yes,~4.6g net carbs
vegetables,artichoke,yes,~5.1g net carbs - moderate portions
vegetables,long beans,caution,~8.3g net carbs - small portions only
vegetables,celeriac,caution,~7.4g net carbs - small portions only
vegetables,rutabaga,caution,~6.3g net carbs - small portions only
vegetables,starfruit,yes,~3.9g net carbs - freely
vegetables,lotus root,caution,~12.9g net carbs - very small portions
vegetables,water chestnuts,no,~21g net carbs
vegetables,taro,no,~29.5g net carbs
vegetables,jerusalem artichoke,no,~15.8g net carbs
vegetables,mushrooms (all varieties),yes,freely
vegetables,aubergine/eggplant,yes,freely
vegetables,bitter gourd/karela,yes,freely
vegetables,fennel,yes,freely
vegetables,leeks,yes,freely
vegetables,green onion,yes,freely
vegetables,tomatoes,yes,cooking quantities
vegetables,onions and garlic,yes,cooking amounts
vegetables,potatoes,no,
vegetables,sweet potatoes,no,
vegetables,carrots,no,
vegetables,beetroot,no,
vegetables,parsnips,no,
vegetables,corn,no,
vegetables,peas in volume,no,too high carb
fruits,strawberries,yes,~5g net carbs per 100g
fruits,raspberries,yes,~5g net carbs per 100g
fruits,blackberries,yes,~5g net carbs per 100g
fruits,avocado,yes,~2g net carbs per 100g - freely
fruits,lemon and lime,yes,freely
fruits,goji berries,yes,very small portions only
fruits,starfruit,yes,~3.9g net carbs - freely
fruits,guava,caution,~8.9g net carbs but 5.4g fiber - small portions
fruits,longan,no,~14g net carbs
fruits,lychee,no,~15g net carbs
fruits,pomelo,no,~8.6g net carbs - hard to eat only 100g
fruits,jackfruit,no,~22g net carbs (ripe)
fruits,bananas,no,
fruits,pineapple,no,
fruits,watermelon,no,
fruits,grapes,no,
fruits,mangoes,no,
fruits,oranges,no,
fruits,papaya,no,
fruits,green apple,no,too high carb for strict keto
fruits,pomegranate,no,moderate carbs - avoid strict phase
grains_and_bread,millet flour,yes,moderate portions only
grains_and_bread,millet pancakes,yes,small portions
grains_and_bread,homemade millet sourdough,yes,small portions
grains_and_bread,sticky rice,no,~20g net carbs per 100g cooked
grains_and_bread,oats,no,
grains_and_bread,wheat bread,no,
grains_and_bread,regular sourdough,no,
grains_and_bread,pasta,no,
grains_and_bread,buckwheat,no,also allergy
grains_and_bread,corn,no,
grains_and_bread,rice,no,
grains_and_bread,quinoa,no,too high carb for strict keto
legumes,green beans,yes,exception - behaves as vegetable
legumes,peanuts and natural peanut butter,caution,~4g net carbs per 28g - small amounts only
legumes,lentils,no,strict keto phase
legumes,chickpeas,no,strict keto phase
legumes,hummus,no,strict keto phase
legumes,black beans,no,strict keto phase
legumes,peas in volume,no,strict keto phase
nuts_and_seeds,flaxseeds and flaxseed meal,yes,very low carb
nuts_and_seeds,chia seeds,yes,low net carb due to fiber
nuts_and_seeds,pumpkin seeds,yes,moderate
nuts_and_seeds,sunflower seeds,yes,moderate - watch portions
nuts_and_seeds,hemp seeds,yes,
nuts_and_seeds,sesame seeds,yes,
nuts_and_seeds,coconut unsweetened,yes,
nuts_and_seeds,almonds,no,ALLERGY
nuts_and_seeds,walnuts,no,ALLERGY
nuts_and_seeds,pistachios,no,ALLERGY
nuts_and_seeds,hazelnuts,no,ALLERGY
nuts_and_seeds,macadamia,no,ALLERGY
nuts_and_seeds,brazil nuts,no,ALLERGY - tree nut. Selenium must come from tablet not food for this user.
fermented_foods,buffalo milk kefir,yes,small portions
fermented_foods,buffalo milk yoghurt,yes,small portions
fermented_foods,homemade millet sourdough,yes,small portions
fermented_foods,homemade kombucha,yes,watch sugar content
fermented_foods,kimchi,yes,check for added sugar in commercial versions
fermented_foods,aged cheeses,yes,
fermented_foods,tempeh,yes,
morning_shot,turmeric powder,yes,0.5 tsp - must use with black pepper
morning_shot,moringa leaf powder,yes,0.5 tsp
morning_shot,kale powder,yes,0.5 tsp
morning_shot,ashwagandha powder,yes,0.25 tsp
morning_shot,goji berry powder,yes,0.25 tsp
morning_shot,fresh ginger,yes,
morning_shot,black pepper,yes,pinch - essential for turmeric absorption
morning_shot,fresh lemon juice,yes,half lemon
condiments,apple cider vinegar,yes,
condiments,olive oil vinaigrette,yes,
condiments,all herbs and spices,yes,
condiments,Himalayan pink salt,yes,
condiments,black pepper,yes,
condiments,fresh ginger,yes,
condiments,fresh garlic,yes,
condiments,turmeric,yes,
condiments,tahini,yes,
condiments,mustard,yes,check for added sugar
condiments,kimchi,yes,check for added sugar
condiments,babaganoush (fresh local),yes,
condiments,tamarind,no,~57g carbs per 100g - avoid even condiment amounts on strict keto
condiments,refined sugar,no,
condiments,honey,no,
condiments,artificial sweeteners (sucralose/aspartame/acesulfame-K),no,
condiments,commercial sauces with sugar or starch,no,
condiments,gochujang,no,contains rice
condiments,stevia,yes,acceptable sweetener
condiments,monk fruit,yes,acceptable sweetener
drinks,water,yes,freely
drinks,black coffee,yes,freely
drinks,green tea,yes,freely
drinks,Himalayan mint tea (Ban Silam),yes,freely
drinks,herbal teas,yes,freely
drinks,homemade kombucha,yes,freely
drinks,coffee with small dash of cream,yes,occasionally
drinks,coconut water,caution,moderate sugar - post workout only
drinks,alcohol,no,
drinks,fruit juice,no,
drinks,sweetened drinks,no,
drinks,commercial sports drinks,no,
drinks,milk as a drink,no,
treats,85%+ dark chocolate,yes,small amounts - magnesium source
