category,food,status,notes
vegetables,shiitake mushrooms,yes,freely - immune and anti-inflammatory
vegetables,aubergine/eggplant,yes,freely - contains nasunin antioxidant
vegetables,bitter gourd/karela,yes,freely - specific lipedema therapeutic evidence
vegetables,fennel,yes,freely - supports lymphatic drainage
vegetables,leeks,yes,freely - prebiotic
vegetables,green onion,yes,freely
vegetables,tomatoes,yes,freely
vegetables,onions and garlic,yes,freely
vegetables,carrots,yes,moderate portions
vegetables,beetroot,yes,moderate portions
vegetables,sweet potatoes,yes,moderate portions
vegetables,corn,no,high glycemic - zein protein similar to gluten
vegetables,white potatoes,no,high glycemic - limited nutritional offset
fruits,strawberries,yes,freely - high flavonoids
fruits,raspberries,yes,freely - high flavonoids
fruits,blackberries,yes,freely - high flavonoids
fruits,pomegranate,yes,freely - high punicalagins - strong anti-inflammatory evidence
fruits,avocado,yes,freely
fruits,lemon and lime,yes,freely
fruits,goji berries,yes,small portions - high rutin - supports lymphatic vessel integrity
fruits,green apple,yes,moderate - eat skin for quercetin
fruits,papaya,yes,moderate - digestive enzymes - anti-inflammatory
fruits,oranges,yes,occasional - hesperidin has specific lymphatic benefits
fruits,blueberries,yes,small portions - high anthocyanins
fruits,bananas,no,high fructose - specifically problematic for lipedema
fruits,pineapple,no,high fructose
fruits,watermelon,no,high glycemic
fruits,grapes,no,high fructose
fruits,mangoes,no,high fructose
grains_and_bread,millet flour and millet products,yes,gluten free
grains_and_bread,millet pancakes,yes,gluten free
grains_and_bread,homemade millet sourdough,yes,gluten free and fermented
grains_and_bread,quinoa,yes,gluten free - complete protein - contains quercetin and kaempferol
grains_and_bread,rice,yes,occasional - lower inflammatory load than wheat
grains_and_bread,wheat and all gluten-containing grains,no,primary RAD elimination
grains_and_bread,oats,no,contain avenin similar to gluten - often cross-contaminated
grains_and_bread,buckwheat,no,also allergy
grains_and_bread,corn products,no,
legumes,green beans,yes,freely - behaves as vegetable
legumes,black beans,yes,high anthocyanin content - strong RAD case
legumes,lentils,yes,high flavonoids and fiber - low glycemic
legumes,edamame,yes,low net carbs for a legume
legumes,black soybeans,yes,
legumes,chickpeas,yes,moderate portions
legumes,hummus (fresh olive oil based),yes,small condiment portions
legumes,peanuts and natural peanut butter,caution,monitor individual response
nuts_and_seeds,flaxseeds and flaxseed meal,yes,high omega-3
nuts_and_seeds,chia seeds,yes,high omega-3 and fiber
nuts_and_seeds,pumpkin seeds,yes,high magnesium
nuts_and_seeds,sunflower seeds,yes,moderate - omega-6 ratio watch
nuts_and_seeds,hemp seeds,yes,good omega-3 to omega-6 ratio
nuts_and_seeds,sesame seeds and tahini,yes,
nuts_and_seeds,coconut unsweetened,yes,
nuts_and_seeds,bee pollen granules,yes,high rutin and quercetin - specific lymphatic benefit
nuts_and_seeds,almonds,no,ALLERGY
nuts_and_seeds,walnuts,no,ALLERGY
nuts_and_seeds,pistachios,no,ALLERGY
nuts_and_seeds,hazelnuts,no,ALLERGY
nuts_and_seeds,macadamia,no,ALLERGY
nuts_and_seeds,brazil nuts,no,ALLERGY - botanically a tree nut. Selenium needs to come from tablet not food for this user. Bhumi Nepal Brazil Nuts stocked on Daraz if allergy ever reassessed.
fermented_foods,buffalo milk kefir,yes,prioritize
fermented_foods,buffalo milk yoghurt,yes,prioritize
fermented_foods,homemade millet sourdough,yes,prioritize
fermented_foods,homemade kombucha,yes,prioritize
fermented_foods,kimchi,yes,prioritize - capsaicin benefits for lipedema
fermented_foods,aged cheeses,yes,
fermented_foods,tempeh,yes,preferred soy form
fermented_foods,doenjang (fermented Korean soybean paste),yes,
fermented_foods,miso,yes,
fermented_foods,babaganoush (fresh local),yes,
rad_superfoods,bitter gourd/karela,yes,specific lipedema therapeutic evidence
rad_superfoods,fennel,yes,lymphatic drainage support
rad_superfoods,pomegranate,yes,punicalagins for connective tissue
rad_superfoods,goji berries,yes,rutin for lymphatic vessel wall integrity
rad_superfoods,bee pollen granules,yes,rutin and quercetin concentrated
rad_superfoods,turmeric with black pepper,yes,curcumin anti-inflammatory - black pepper essential
rad_superfoods,moringa leaf powder,yes,nutrient dense - reduces fluid retention
rad_superfoods,mushrooms (all varieties),yes,beta-glucans for lymphatic function
rad_superfoods,berries,yes,anthocyanins for adipose tissue inflammation
rad_superfoods,green tea,yes,EGCG anti-inflammatory
rad_superfoods,dark leafy greens,yes,vitamin K and magnesium
rad_superfoods,ashwagandha,yes,cortisol management - hormonal relevance to lipedema
morning_shot,turmeric powder,yes,0.5 tsp - must use with black pepper
morning_shot,moringa leaf powder,yes,0.5 tsp
morning_shot,kale powder,yes,0.5 tsp
morning_shot,ashwagandha powder,yes,0.25 tsp
morning_shot,goji berry powder,yes,0.25 tsp
morning_shot,fresh ginger,yes,
morning_shot,black pepper,yes,pinch - essential for turmeric absorption
morning_shot,fresh lemon juice,yes,half lemon
condiments,apple cider vinegar,yes,
condiments,olive oil vinaigrette,yes,
condiments,all herbs and spices,yes,
condiments,Himalayan pink salt,yes,
condiments,black pepper,yes,
condiments,fresh ginger,yes,anti-inflammatory
condiments,fresh garlic,yes,anti-inflammatory
condiments,turmeric,yes,anti-inflammatory
condiments,kimchi,yes,fermented - prioritize
condiments,babaganoush (fresh local),yes,
condiments,tahini,yes,
condiments,gochugaru/Korean chilli flakes,yes,capsaicin beneficial for lipedema
condiments,doenjang,yes,fermented soy - preferred
condiments,gochujang,caution,contains rice - small amounts only
condiments,commercial sauces,caution,check for added sugar and seed oils
condiments,sesame oil,caution,small finishing amounts only - omega-6
condiments,refined sugar and anything containing it,no,
condiments,artificial sweeteners (sucralose/aspartame/acesulfame-K),no,disrupt gut microbiome
condiments,seed oils in cooking,no,
condiments,japchae glass noodles,no,sweet potato starch - high carb
drinks,water,yes,freely
drinks,black coffee,yes,freely
drinks,green tea,yes,freely - EGCG anti-inflammatory
drinks,Himalayan mint tea (Ban Silam),yes,freely - lymphatic stimulating
drinks,herbal teas,yes,freely
drinks,homemade kombucha,yes,freely - probiotic
drinks,coffee with small dash of cream,yes,occasionally
drinks,coconut water,yes,occasionally - electrolytes post workout or hot days
drinks,alcohol,no,pro-inflammatory - affects lymphatic function
drinks,fruit juice,no,
drinks,sweetened drinks,no,
drinks,commercial sports drinks,no,
treats,85%+ dark chocolate,yes,small amounts - magnesium and flavonoids
